,average-vw,alpha-vw,average-ew,alpha-ew,average_max
1,1.31,0.55(5.79),1.2,0.51(5.69),1.59
2,1.34,0.37(4.04),1.3,0.4(4.99),2.62
3,1.39,0.39(3.88),1.34,0.35(4.4),3.37
4,1.54,0.44(3.59),1.32,0.32(3.64),4.13
5,1.67,0.62(4.94),1.29,0.29(3.38),4.98
6,1.8499999999999999,0.67(5.06),1.28,0.21(1.89),5.98
7,2.07,0.91(4.92),1.22,0.2(1.61),7.27
8,2.21,0.95(4.23),1.1400000000000001,0.17(0.98),9.06
9,2.4299999999999997,1.4(5.36),0.97,0.25(1.17),12.1
10,3.01,2.68(5.54),0.66,0.29(0.98),24.98
10-1,1.7000000000000002(4.98),2.14(4.32),-0.54(-2.05),-0.22(-0.7),
